Date,Total_Profit,Arbitrage_Profit,Ancillary_Low_Profit,Ancillary_High_Profit,SOH,Throughput_MWh,Capacity_MWh
2024-01-01,9960.360950230957,3772.1766622309574,5729.59672,458.587568,0.9996888888878,31.111111220000005,20.0
2024-01-02,9739.241733723196,3393.415292657095,5109.852389090102,1235.974051976,0.99937787733434,31.101155346,19.993777777756
2024-01-03,13314.258715963471,3990.839992936576,8344.161155026895,979.257568,0.9990580764151801,31.980091916000003,19.9875575466868
2024-01-04,12383.140325426386,4176.452538481819,6988.059186944565,1218.6286,0.9987383778311001,31.969858407999997,19.981161528303602
2024-01-05,10709.057049942156,2302.434287507639,6517.7666864345165,1888.8560759999998,0.9985356048728601,20.277295824,19.974767556622
2024-01-06,9243.53139773567,2864.3257673436083,4646.965762392065,1732.239868,0.9982660002602601,26.960461260000002,19.970712097457202
2024-01-07,10106.717365677068,3413.545575406125,5943.7864422709445,749.385348,0.9979465551396601,31.94451206,19.965320005205204
2024-01-08,8109.136042438749,3270.3992643927295,3495.557782046019,1343.178996,0.9976360828772401,31.047226242,19.9589311027932
2024-01-09,7870.242693175484,3044.1503955792755,4458.325289596209,367.76700800000003,0.9973257072071301,31.037567011,19.952721657544803
2024-01-10,8253.090625368757,2731.1093634532594,5303.2255939154975,218.75566800000001,0.9970154280963301,31.027911079999996,19.9465141441426
2024-01-11,7747.729257799334,2488.7776851477024,4913.964252651633,344.98731999999995,0.9967052720483301,31.0156048,19.940308561926603
2024-01-12,11494.786202352045,3392.1601026322396,6428.32680426273,1674.299295457076,0.9963951859628701,31.008608545999998,19.934105440966604
2024-01-13,7518.776582028155,2617.692234748639,4546.004467279516,355.07988,0.9961261592610501,26.902670182,19.9279037192574
2024-01-14,6368.565834205157,2160.8966267319856,3986.0067074731714,221.6625,0.9958162533447901,30.990591625999997,19.922523185221003
2024-01-15,6277.34853163162,1780.6128021893987,4433.11135344222,63.624376,0.99554738295554,26.887038925000002,19.9163250668958
2024-01-16,12778.93059557601,3880.6565388324893,8292.323868743522,605.9501879999999,0.99523635495952,31.102799602,19.9109476591108
2024-01-17,8997.670922129077,3339.980195526193,5253.202838602883,404.487888,0.99492699051642,30.936444310000002,19.9047270991904
2024-01-18,7311.987734633138,1758.3555109618007,5279.698883671336,273.93334,0.99461745767496,30.953284146000005,19.8985398103284
2024-01-19,8251.056326859525,2203.0319460438623,5799.2057808156615,248.8186,0.99430806897958,30.938869538,19.8923491534992
2024-01-20,8120.852831676364,740.0091856864716,5758.631830129996,1622.2118158598962,0.99417460580198,13.346317760000002,19.8861613795916
2024-01-21,8633.72892695009,4448.514380046922,4165.7961509031675,19.418396,0.9938653588142801,30.92469877,19.8834921160396
2024-01-22,9331.466273254988,2964.517777683543,4456.364484931443,1910.58401064,0.9935564970710401,30.886174324,19.8773071762856
2024-01-23,6523.37151321083,1017.8404446494303,5164.6758353614005,340.85523320000004,0.9933798075291401,17.66895419,19.8711299414208
2024-01-24,8083.242322757777,2684.8854300289213,5288.195444728855,110.161448,0.9930858667596402,29.394076949999995,19.867596150582802
2024-01-25,6349.898913110268,518.1443770021347,5707.657552108132,124.09698399999999,0.9929582507210402,12.761603860000001,19.861717335192804
2024-01-26,8031.547999953942,3123.7716843868775,4500.6026755670655,407.17364,0.9926493303765802,30.892034445999997,19.859165014420803
2024-01-27,7028.724507329029,1852.7861506883228,4932.544724640706,243.39363200000003,0.9923813150550602,26.801532152,19.852986607531605
2024-01-28,5456.112470465463,1578.4223467479474,3735.286374517515,142.4037492,0.9920725742014602,30.874085359999995,19.847626301101204
2024-01-29,7166.764639507025,2456.0593790127737,4620.080912494252,90.62434800000001,0.9917639293994602,30.864480199999996,19.841451484029204
2024-01-30,7489.494514165863,2477.7542048549894,4956.455909310872,55.284400000000005,0.9914465649419603,31.73644575,19.835278587989205
